code,timestamp,company
000408,2006-05-09,*ST玉源
000408,2005-10-26,玉源控股
000408,1996-06-28,河北华玉
000409,2021-05-20,云鼎科技
000409,2021-04-12,山东地矿
000409,2019-09-26,ST地矿
000409,2018-06-25,*ST地矿
000409,2013-12-25,山东地矿
000409,2013-04-03,泰复实业
000409,2012-05-23,ST泰复
000409,2011-05-03,*ST泰复
000409,2010-01-07,ST泰复
000409,2009-04-21,ST泰格
000409,2008-04-28,*ST泰格
000409,2006-10-12,ST泰格
000409,2006-10-09,ST四通
000409,2006-09-26,GST四通
000409,2006-06-09,ST四通
000409,2003-05-12,*ST四通
000409,2003-04-01,ST四通
000409,1998-09-30,四通高科
000409,1996-06-27,华立高科
000410,2023-05-23,沈阳机床
000410,2022-04-19,*ST沈机
000410,2021-06-24,ST沈机
000410,2019-08-20,*ST沈机
000410,2018-03-01,沈阳机床
000410,2017-05-03,*ST沈机
000410,2006-10-09,沈阳机床
000410,2006-03-01,G沈机
000410,1996-07-18,沈阳机床
000411,2006-10-09,英特集团
000411,2006-09-12,G英特
000411,2005-05-13,英特集团
000411,2002-07-23,ST英特
000411,2002-06-25,ST凯地
000411,2001-04-27,PT凯地
000411,2000-04-07,ST凯地
000411,1996-07-16,凯地丝绸
000413,2014-01-03,东旭光电
000413,2008-04-23,宝石A
000413,2007-04-11,*ST宝石A
000413,2006-10-09,宝石A
000413,2006-03-29,G宝石
000413,2000-04-27,宝石A
000413,1998-05-04,ST宝石A
000413,1996-09-25,宝石A
000415,2018-11-14,渤海租赁
000415,2016-02-23,渤海金控
000415,2011-10-26,渤海租赁
000415,2011-04-08,ST汇通
000415,2010-03-16,*ST汇通
000415,2007-07-11,汇通集团
000415,2006-10-09,汇通水利
000415,2006-06-27,G汇通
000415,1996-07-16,汇通水利
000416,2023-04-27,*ST民控
000416,2014-04-14,民生控股
000416,2008-12-30,民生投资
000416,2008-01-16,华馨实业
000416,2006-10-09,健特生物
000416,2006-08-09,G健特
000416,2002-02-07,健特生物
000416,2001-10-22,ST青健
000416,2001-04-30,ST国货
000416,1996-07-19,青岛国货
000417,2006-10-09,合肥百货
000417,2006-02-28,G合百大
000417,1996-08-12,合肥百货
000419,2006-10-09,通程控股
000419,2006-06-21,G通程
000419,1998-07-13,通程控股
000419,1996-08-16,通程东百
000420,2013-04-26,吉林化纤
000420,2012-02-28,*ST吉纤
000420,2006-10-09,吉林化纤
000420,2006-04-06,G吉纤
000420,1996-08-02,吉林化纤
000421,2016-06-21,南京公用
000421,2007-01-09,南京中北
000421,2006-10-09,S中北
000421,1996-08-06,南京中北
000422,2021-06-11,湖北宜化
000422,2019-04-26,ST宜化
000422,2018-04-24,*ST宜化
000422,2006-10-09,湖北宜化
000422,2006-04-20,G宜化
000422,1996-08-15,湖北宜化
000423,2007-06-01,东阿阿胶
000423,2006-10-09,S阿胶
000423,1996-07-29,东阿阿胶
000425,2009-09-08,徐工机械
000425,2006-12-28,徐工科技
000425,2006-10-09,S徐工
000425,2000-06-08,徐工科技
000425,1996-08-28,徐工股份
000426,2023-06-12,兴业银锡
000426,2011-12-22,兴业矿业
000426,2007-11-20,富龙热电
000426,2006-10-09,大地基础
000426,2006-04-07,G大地
000426,2004-02-12,大地基础
000426,1996-08-28,富龙热力
000428,2006-10-09,华天酒店
000428,2006-03-13,G华天
000428,1996-08-08,华天酒店
000429,2006-10-09,粤高速A
000429,2006-02-17,G粤高速
000429,1998-02-20,粤高速A
000430,2012-04-25,张家界
000430,2011-04-13,ST张家界
000430,2010-02-08,*ST张股
000430,2009-06-08,ST张家界
000430,2008-05-22,SST张股
000430,2007-03-12,S*ST张股
000430,2006-10-09,S张家界
000430,2002-03-07,张家界
000430,2001-04-27,ST张家界
000430,1996-08-29,张家界
000488,2006-10-09,晨鸣纸业
000488,2006-03-29,G晨鸣
000488,2000-11-20,晨鸣纸业
000498,2013-05-06,山东路桥
000498,2013-02-08,*ST路桥
000498,2007-04-20,*ST丹化
000498,2006-10-09,丹东化纤
000498,2006-04-18,G丹化
000498,2004-03-23,丹东化纤
000498,2003-05-12,*ST丹化
000498,2003-04-16,ST丹化
000498,1997-06-09,丹东化纤
000501,2022-04-26,武商集团
000501,2006-10-09,鄂武商A
000501,2006-04-03,G武商A
000501,1992-11-20,鄂武商A
000503,2018-05-25,国新健康
000503,2006-10-09,海虹控股
000503,2006-05-16,G海虹
000503,2000-03-21,海虹控股
000503,1998-06-15,ST海虹
000503,1997-05-16,海虹控股
000503,1994-11-01,琼海虹
000503,1992-11-30,琼化纤
000504,2021-04-28,南华生物
000504,2020-06-12,ST生物
000504,2019-05-06,*ST生物
000504,2017-05-12,南华生物
000504,2016-04-26,*ST生物
000504,2015-03-31,南华生物
000504,2013-10-29,*ST传媒
000504,2011-05-17,ST传媒
000504,2010-04-23,*ST传媒
000504,2007-01-15,赛迪传媒
000504,2006-10-09,S赛迪
000504,2001-03-09,赛迪传媒
000504,2000-04-19,ST港澳
000504,1996-01-01,港澳实业
000504,1992-12-08,琼港澳A
000505,2018-03-13,京粮控股
000505,2017-05-19,珠江控股
000505,2016-04-26,*ST珠江
000505,2014-04-16,珠江控股
000505,2013-03-29,*ST珠江
000505,2010-06-03,ST珠江
000505,2009-04-29,*ST珠江
000505,2007-06-06,珠江控股
000505,2006-10-09,*ST珠江
000505,2006-08-17,G*ST珠江
000505,2006-04-26,*ST珠江
000505,2004-04-30,ST珠江
000505,2003-05-12,*ST珠江
000505,2003-04-29,ST珠江
000505,2000-02-28,珠江控股
000505,1992-12-21,琼珠江A
000506,2012-01-19,中润资源
000506,2010-04-02,中润投资
000506,2009-06-05,ST中润
000506,2008-12-29,*ST东泰
000506,2006-10-09,S*ST东泰
000506,2006-05-09,*ST东泰
000506,2001-02-13,东泰控股
000506,2000-02-22,ST东控
000506,1998-04-30,ST峨眉
000506,1998-04-13,峨眉集团
000506,1993-03-12,川盐化A
000507,2010-09-16,珠海港
000507,2006-12-26,粤富华
000507,2006-10-09,S粤富华
000507,2000-04-26,粤富华
000507,1999-04-22,ST粤富华
000507,1993-03-26,粤富华A
000509,2022-07-01,华塑控股
000509,2020-04-01,*ST华塑
000509,2014-05-19,华塑控股
000509,2014-01-09,*ST华塑
000509,2013-05-02,S*ST华塑
000509,2011-10-26,SST华塑
000509,2010-03-23,S*ST华塑
000509,2008-03-10,SST华塑
000509,2006-10-09,S*ST华塑
000509,2006-03-21,*ST华塑
000509,2004-04-21,同人华塑
000509,1999-12-29,天歌科技
000509,1996-12-02,天歌集团
000509,1993-05-07,川天歌A
000510,2019-07-05,新金路
000510,2016-04-29,金路集团
000510,2015-04-13,*ST金路
000510,2006-10-09,金路集团
000510,2006-07-11,G金路
000510,1997-03-01,金路集团
000510,1993-05-07,川金路A
000513,2006-12-11,丽珠集团
000513,2006-10-09,S丽珠
000513,1997-03-19,丽珠集团
000513,1993-10-28,粤丽珠A
000514,2006-10-09,渝开发
000514,2005-12-01,G渝开发
000514,2003-03-05,渝开发
000514,2002-04-18,ST渝开发
000514,1993-07-12,渝开发A
000516,2022-04-18,国际医学
000516,2022-01-17,ST国医
000516,2015-01-13,国际医学
000516,2011-06-15,开元投资
000516,2007-07-03,开元控股
000516,2006-10-09,陕解放A
000516,2006-03-31,G解放
000516,1993-08-09,陕解放A
000517,2010-04-14,荣安地产
000517,2009-09-11,ST成功
000517,2008-11-06,*ST成功
000517,2006-10-09,S*ST成功
000517,2006-01-05,*ST成功
000517,1999-11-12,甬成功
000517,1993-08-06,甬中元A
000518,2010-06-24,四环生物
000518,2009-04-29,*ST生物
000518,2006-12-06,四环生物
000518,2006-10-09,S四环
000518,2001-03-19,四环生物
000518,2001-01-11,振新股份
000518,2000-04-10,ST振新
000518,1999-09-29,PT振新
000518,1999-07-09,PT苏三山
000518,1998-05-04,ST苏三山
000518,1993-09-08,苏三山A
000519,2017-01-10,中兵红箭
000519,2010-09-29,江南红箭
000519,2006-10-09,银河动力
000519,2006-03-24,G银动
000519,2004-05-24,银河动力
000519,2001-06-15,银河创新
000519,1998-03-10,银河动力
000519,1993-10-08,蓉动力A
000520,2023-09-06,凤凰航运
000520,2015-08-18,长航凤凰
000520,2013-04-25,*ST凤凰
000520,2006-10-09,长航凤凰
000520,2006-07-14,G长航
000520,2000-11-03,中国凤凰
000520,1993-10-25,武凤凰A
000521,2018-07-03,长虹美菱
000521,2007-08-27,美菱电器
000521,2006-10-09,S美菱
000521,1997-01-01,美菱电器
000521,1993-10-18,皖美菱A
000523,2022-05-26,广州浪奇
000523,2021-05-06,*ST浪奇
000523,2006-10-09,广州浪奇
000523,2005-12-30,G浪奇
000523,1998-01-01,广州浪奇
000523,1993-11-08,穗浪奇
000524,2015-06-11,岭南控股
000524,2006-10-09,东方宾馆
000524,2006-02-22,G穗东方
000524,1998-01-01,东方宾馆
000524,1993-11-18,穗东方A
000525,2021-05-06,ST红太阳
000525,2006-10-09,红太阳
000525,2006-06-07,G红太阳
000525,2000-01-26,红太阳
000525,1993-10-28,宁天龙A
000526,2021-04-23,学大教育
000526,2018-05-23,紫光学大
000526,2017-04-11,*ST紫学
000526,2016-07-13,紫光学大
000526,2012-03-29,银润投资
000526,2006-10-09,旭飞投资
000526,2006-03-01,G旭飞
000526,2005-08-08,旭飞投资
000526,2002-11-28,好时光
000526,2001-06-08,旭飞实业
000526,2000-03-21,厦海发
000526,1999-04-19,ST厦海发
000526,1993-11-01,厦海发A
000528,2006-10-09,柳工
000528,2006-03-17,G柳工
000528,1993-11-18,桂柳工A
000529,2009-09-11,广弘控股
000529,2009-01-20,*ST美雅
000529,2006-10-09,S*ST美雅
000529,2005-05-25,*ST美雅
000529,2004-03-25,ST美雅
000529,2003-05-12,*ST美雅
000529,2003-04-22,ST美雅
000529,1993-11-18,粤美雅
000530,2020-03-24,冰山冷热
000530,2006-10-09,大冷股份
000530,2006-01-09,G大冷
000530,1996-05-17,大冷股份
000530,1993-12-08,连大冷A
000531,2006-10-09,穗恒运A
000531,2006-02-20,G穗恒运
000531,1994-01-06,穗恒运A
000532,2017-04-18,华金资本
000532,2006-10-09,力合股份
000532,2006-09-28,G力合
000532,2003-08-11,力合股份
000532,1994-01-03,粤华电A
000533,2019-02-28,顺钠股份
000533,2007-02-15,万家乐
000533,2006-10-09,S万家乐
000533,2004-03-26,万家乐A
000533,2003-05-12,*ST家乐
000533,2002-04-23,ST万家乐
000533,1994-01-03,万家乐A
000534,2009-09-14,万泽股份
000534,2006-10-09,汕电力A
000534,2006-08-11,G汕电力
000534,1994-01-10,汕电力A
000536,2021-05-11,华映科技
000536,2020-04-29,*ST华映
000536,2011-02-01,华映科技
000536,2009-04-09,闽闽东
000536,2009-04-08,S闽闽东
000536,2006-10-09,SST闽东
000536,2005-04-29,ST闽闽东
000536,2004-04-23,*ST闽东
000536,2002-06-28,ST闽闽东
000536,2001-05-11,PT闽闽东
000536,1999-04-29,ST闽闽东
000536,1993-11-26,闽闽东A
000537,2006-10-09,广宇发展
000537,2006-03-17,G广宇
000537,2005-07-08,广宇发展
000537,2005-05-19,南开戈德
000537,2004-05-10,*ST戈德
000537,1999-10-13,南开戈德
000537,1993-12-10,津国商A
000538,2006-10-09,云南白药
000538,2006-05-29,G云白药
000538,1996-12-28,云南白药
000538,1993-12-15,云白药A
000539,2006-10-09,粤电力A
000539,2006-01-19,G粤电力
000539,1993-11-26,粤电力
000541,2006-10-09,佛山照明
000541,2006-04-24,G佛照
000541,1998-01-01,佛山照明
000541,1993-11-23,粤照明A
000543,2006-10-09,皖能电力
000543,2006-03-07,G皖能
000543,1998-01-01,皖能电力
000543,1993-12-20,皖皖能A
000544,2007-01-30,中原环保
000544,2007-01-16,白鸽股份
000544,2006-10-09,S白鸽
000544,2004-04-05,白鸽股份
000544,2003-05-12,*ST白鸽
000544,2002-05-08,ST白鸽
000544,1993-12-08,豫白鸽A
000545,2013-07-26,金浦钛业
000545,2011-04-28,*ST吉药
000545,2008-04-11,吉林制药
000545,2007-04-16,*ST吉药
000545,2006-10-09,吉林制药
000545,2006-07-28,G吉药
000545,2004-01-02,吉林制药
000545,2000-03-07,恒和制药
000545,1993-12-15,吉制药A
000546,2023-10-19,金圆股份
000546,2023-06-16,ST金圆
000546,2015-01-06,金圆股份
000546,2006-10-09,光华控股
000546,2006-05-22,G光华
000546,2006-05-12,GST光华
000546,2005-10-24,ST吉光华
000546,2002-08-08,ST吉轻工
000546,2001-05-11,PT吉轻工
000546,2000-04-21,ST吉轻工
000546,1993-12-15,吉轻工A
000547,2015-08-20,航天发展
000547,2006-10-09,闽福发A
000547,2006-06-08,G闽福发
000547,1993-11-30,闽福发A
000548,2006-10-09,湖南投资
000548,2006-08-18,G投资
000548,1999-05-31,湖南投资
000548,1998-04-29,ST湘中意
000548,1993-12-20,湘中意A
000550,2006-10-09,江铃汽车
000550,2006-02-14,G江铃
000550,2001-04-12,江铃汽车
000550,2000-06-05,ST江铃
000550,1998-01-01,江铃汽车
000550,1993-12-01,赣江铃A
000551,2006-10-09,创元科技
000551,2006-03-28,G创元
000551,2000-03-24,创元科技
000551,1994-01-06,苏物贸A
000552,2023-04-18,甘肃能化
000552,2006-10-09,靖远煤电
000552,2006-06-26,G靖煤
000552,2006-03-30,G*ST靖煤
000552,2004-04-30,*ST长风
000552,2002-06-19,长风特电
000552,1994-01-06,甘长风A
000553,2019-01-10,安道麦A
000553,2006-10-09,沙隆达A
000553,2006-08-03,G沙隆达
000553,1993-12-03,沙隆达A
000554,2007-03-19,泰山石油
000554,2006-10-09,S泰石油
000554,2000-07-17,泰山石油
000554,1993-12-15,鲁石化A
000555,2014-03-19,神州信息
000555,2013-05-02,*ST太光
000555,2008-07-21,ST太光
000555,2007-04-04,*ST太光
000555,2006-10-09,ST太光
000555,2006-06-08,GST太光
000555,2005-06-08,ST太光
000555,2004-04-30,*ST太光
000555,2003-04-17,ST太光
000555,2001-03-27,太光电信
000555,1999-04-29,ST黔凯涤
000555,1994-04-08,黔凯涤
000557,2016-05-26,西部创业
000557,2016-05-06,银广夏
000557,2010-09-30,*ST广夏
000557,2006-10-09,ST银广夏
000557,2006-06-26,GST广夏
000557,2006-05-09,ST广夏
000557,2005-03-23,*ST广夏
000557,2002-05-08,ST银广夏
000557,1994-06-17,银广夏A
000558,2015-08-18,莱茵体育
000558,2006-10-09,莱茵置业
000558,2006-04-19,G莱茵
000558,2002-04-02,莱茵置业
000558,1999-05-26,辽房天
000558,1998-04-29,ST辽房天
000558,1994-05-09,辽房天
000559,2006-10-09,万向钱潮
000559,2006-04-21,G钱潮
000559,1997-01-01,万向钱潮
000559,1994-01-10,万向潮A
000560,2018-05-02,我爱我家
